view,model,subject,folds,parameters,accuracy,accuracy_percent
frontal_only,stanet,clt,5,304,0.6745798319327732,67.45798319327731
frontal_only,stanet,fl,5,304,0.6884453781512605,68.84453781512605
frontal_only,stanet,kjw,5,304,0.5651260504201681,56.51260504201681
frontal_only,stanet,ly,5,304,0.6060924369747899,60.60924369747899
frontal_only,stanet,lyd,5,304,0.5052521008403361,50.52521008403361
frontal_only,stanet,mym,5,304,0.7586134453781512,75.86134453781513
frontal_only,stanet,qjj,5,304,0.5512605042016807,55.12605042016807
frontal_only,stanet,qyf,5,304,0.6065126050420168,60.65126050420167
frontal_only,stanet,xh,5,304,0.551890756302521,55.189075630252105
frontal_only,stanet,ypy,5,304,0.7176470588235294,71.76470588235294
frontal_only,stanet,yyj,5,304,0.8792016806722689,87.92016806722688
frontal_only,stanet,zhf,5,304,0.8989495798319329,89.8949579831933
frontal_only,stanet,zhl,5,304,0.8567226890756302,85.67226890756302
frontal_only,stanet,zn,5,304,0.555672268907563,55.5672268907563
frontal_only,stanet,zy,5,304,0.7588235294117647,75.88235294117646
frontal_only,xanet,clt,5,93138,0.8642857142857144,86.42857142857144
frontal_only,xanet,fl,5,93138,0.8903361344537816,89.03361344537815
frontal_only,xanet,kjw,5,93138,0.8052521008403362,80.52521008403362
frontal_only,xanet,ly,5,93138,0.6663865546218488,66.63865546218489
frontal_only,xanet,lyd,5,93138,0.6277310924369748,62.773109243697476
frontal_only,xanet,mym,5,93138,0.9907563025210084,99.07563025210084
frontal_only,xanet,qjj,5,93138,0.530672268907563,53.0672268907563
frontal_only,xanet,qyf,5,93138,0.8722689075630253,87.22689075630254
frontal_only,xanet,xh,5,93138,0.6115546218487394,61.15546218487394
frontal_only,xanet,ypy,5,93138,0.9922268907563027,99.22268907563027
frontal_only,xanet,yyj,5,93138,0.997689075630252,99.7689075630252
frontal_only,xanet,zhf,5,93138,0.9882352941176471,98.82352941176471
frontal_only,xanet,zhl,5,93138,0.9756302521008402,97.56302521008402
frontal_only,xanet,zn,5,93138,0.8850840336134453,88.50840336134453
frontal_only,xanet,zy,5,93138,0.9130252100840336,91.30252100840336
frontal_only,darnet,clt,5,12330,0.9445378151260504,94.45378151260503
frontal_only,darnet,fl,5,12330,0.922689075630252,92.26890756302521
frontal_only,darnet,kjw,5,12330,0.855252100840336,85.5252100840336
frontal_only,darnet,ly,5,12330,0.7661764705882353,76.61764705882354
frontal_only,darnet,lyd,5,12330,0.657563025210084,65.75630252100841
frontal_only,darnet,mym,5,12330,0.9928571428571429,99.28571428571429
frontal_only,darnet,qjj,5,12330,0.6813025210084034,68.13025210084034
frontal_only,darnet,qyf,5,12330,0.9115546218487396,91.15546218487395
frontal_only,darnet,xh,5,12330,0.669327731092437,66.9327731092437
frontal_only,darnet,ypy,5,12330,0.997689075630252,99.7689075630252
frontal_only,darnet,yyj,5,12330,0.9997899159663867,99.97899159663866
frontal_only,darnet,zhf,5,12330,0.9974789915966387,99.74789915966386
frontal_only,darnet,zhl,5,12330,0.9693277310924369,96.93277310924368
frontal_only,darnet,zn,5,12330,0.8983193277310925,89.83193277310924
frontal_only,darnet,zy,5,12330,0.9273109243697479,92.73109243697479
frontal_only,dbpnet,clt,5,865202,0.9172268907563025,91.72268907563024
frontal_only,dbpnet,fl,5,865202,0.9346638655462185,93.46638655462185
frontal_only,dbpnet,kjw,5,865202,0.8207983193277311,82.0798319327731
frontal_only,dbpnet,ly,5,865202,0.7334033613445378,73.34033613445378
frontal_only,dbpnet,lyd,5,865202,0.6880252100840336,68.80252100840336
frontal_only,dbpnet,mym,5,865202,0.997689075630252,99.7689075630252
frontal_only,dbpnet,qjj,5,865202,0.5960084033613445,59.60084033613445
frontal_only,dbpnet,qyf,5,865202,0.8894957983193278,88.94957983193278
frontal_only,dbpnet,xh,5,865202,0.6302521008403362,63.025210084033624
frontal_only,dbpnet,ypy,5,865202,0.9964285714285716,99.64285714285715
frontal_only,dbpnet,yyj,5,865202,0.9993697478991596,99.93697478991595
frontal_only,dbpnet,zhf,5,865202,0.9945378151260504,99.45378151260505
frontal_only,dbpnet,zhl,5,865202,0.9840336134453782,98.40336134453781
frontal_only,dbpnet,zn,5,865202,0.8983193277310925,89.83193277310924
frontal_only,dbpnet,zy,5,865202,0.9579831932773109,95.79831932773108
frontal_only,listennet,clt,5,2334,0.9447478991596638,94.47478991596638
frontal_only,listennet,fl,5,2334,0.9277310924369748,92.77310924369748
frontal_only,listennet,kjw,5,2334,0.8607142857142858,86.07142857142858
frontal_only,listennet,ly,5,2334,0.7054621848739495,70.54621848739495
frontal_only,listennet,lyd,5,2334,0.6399159663865547,63.991596638655466
frontal_only,listennet,mym,5,2334,0.9951680672268907,99.51680672268907
frontal_only,listennet,qjj,5,2334,0.5745798319327731,57.45798319327731
frontal_only,listennet,qyf,5,2334,0.9021008403361345,90.21008403361344
frontal_only,listennet,xh,5,2334,0.6626050420168068,66.26050420168067
frontal_only,listennet,ypy,5,2334,0.9987394957983193,99.87394957983193
frontal_only,listennet,yyj,5,2334,0.9997899159663867,99.97899159663866
frontal_only,listennet,zhf,5,2334,0.9766806722689075,97.66806722689076
frontal_only,listennet,zhl,5,2334,0.9703781512605042,97.03781512605042
frontal_only,listennet,zn,5,2334,0.9254201680672269,92.5420168067227
frontal_only,listennet,zy,5,2334,0.9504201680672268,95.04201680672269
frontal_only,mhanet,clt,5,1644,0.8460084033613444,84.60084033613444
